complex                cdim    f-vector       faces    facets    pure    matroid    graph    pdim    codim    degree    m-vector    aED    pED    ML
[1,2,3,4]              0       (1,4)          5        4         Y       Y          Y        15      0        1         ()          1      1      1
[12,3,4]               1       (1,4,1)        6        1         N       N          N        14      1        2         (1)         5      2      1
[12,13,4]              1       (1,4,2)        7        2         N       N          N        13      2        3         (3)         5      2      9
[12,13,14]             1       (1,4,3)        8        3         Y       Y          Y        12      3        4         (6)         5      2      209
[14,23]                1       (1,4,2)        7        2         Y       N          N        13      2        4         (2)         25     25     1041
[12,14,23]             1       (1,4,3)        8        3         Y       N          N        12      3        5         (5)         21     8      1081
[12,13,23,4]           1       (1,4,3)        8        3         N       N          N        12      3        5         (5)         21     19     17
[12,13,14,23]          1       (1,4,4)        9        4         Y       Y          Y        11      4        7         (8)         33     25     2121
[13,14,23,24]          1       (1,4,4)        9        4         Y       N          N        11      4        6         (9)         9      3      1937?
[12,13,14,23,24]       1       (1,4,5)        10       5         Y       Y          Y        10      5        9         (12)        25     25     4480?
[12,13,14,23,24,34]    1       (1,4,6)        11       6         Y       Y          N        9       6        12        (16)        73     85     11885?
[123,4]                2       (1,4,3,1)      9        1         N       N          N        11      4        6         (9)         17     6      1
[123,14]               2       (1,4,4,1)      10       1         N       N          N        10      5        8         (13)        21     8      425
[123,14,34]            2       (1,4,5,1)      11       1         N       N          N        9       6        11        (17)        57     29     1737?
[123,14,24,34]         2       (1,4,6,1)      12       1         N       N          N        8       7        16        (21)        117    112    8551?
[123,124]              2       (1,4,5,2)      12       2         Y       Y          Y        8       7        12        (24)        25     8      201
[123,124,34]           2       (1,4,6,2)      13       2         N       N          N        7       8        18        (28)        89     90     2121
[123,124,134]          2       (1,4,6,3)      14       3         Y       Y          Y        6       9        20        (36)        89     46     505
[123,124,134,234]      2       (1,4,6,4)      15       4         Y       Y          Y        5       10       23        (44)        169    93     561
[1234]                 3       (1,4,6,4,1)    16       1         Y       Y          Y        4       11       24        (55)        73     24     1
