complex                                      cdim    f-vector           faces    facets    pure    matroid    graph    pdim    codim    degree    m-vector    aED     pED      ML
[1,2,3,4,5]                                  0       (1,5)              6        5         Y       Y          Y        31      0        1         ()          1       1        N/A
[12,3,4,5]                                   1       (1,5,1)            7        4         N       N          N        30      1        2         (1)         5       2        N/A
[12,13,4,5]                                  1       (1,5,2)            8        4         N       N          N        29      2        3         (3)         5       2        N/A
[12,13,14,5]                                 1       (1,5,3)            9        4         N       N          N        28      3        4         (6)         5       2        N/A
[12,13,14,15]                                1       (1,5,4)            10       4         Y       Y          Y        27      4        5         (10)        5       2        N/A
[12,13,23,4,5]                               1       (1,5,3)            9        5         N       N          N        28      3        5         (5)         21      19       N/A
[15,23,4]                                    1       (1,5,2)            8        3         N       N          N        29      2        4         (2)         25      25       N/A
[13,15,23,4]                                 1       (1,5,3)            9        4         N       N          N        28      3        5         (5)         21      8        N/A
[12,13,15,23,4]                              1       (1,5,4)            10       5         N       N          N        27      4        7         (8)         33      25       N/A
[14,15,23]                                   1       (1,5,3)            9        3         Y       N          N        28      3        6         (4)         25      25       N/A
[12,14,15,23]                                1       (1,5,4)            10       4         Y       N          N        27      4        7         (8)         21      8        N/A
[12,13,14,15,23]                             1       (1,5,5)            11       5         Y       N          N        26      5        9         (12)        33      25       N/A
[13,14,23,24,5]                              1       (1,5,4)            10       5         N       N          N        27      4        6         (9)         9       3        N/A
[12,13,14,23,24,5]                           1       (1,5,5)            11       6         N       N          N        26      5        9         (12)        25      25       N/A
[13,15,23,24]                                1       (1,5,4)            10       4         Y       N          N        27      4        8         (7)         53      29       N/A
[12,13,15,23,24]                             1       (1,5,5)            11       5         Y       N          N        26      5        10        (11)        61      29       N/A
[13,14,15,23,24]                             1       (1,5,5)            11       5         Y       N          N        26      5        9         (12)        25      8        N/A
[12,13,14,15,23,24]                          1       (1,5,6)            12       6         Y       N          N        25      6        12        (16)        37      29       N/A
[13,14,15,23,24,25]                          1       (1,5,6)            12       6         Y       Y          Y        25      6        10        (18)        9       3        N/A
[12,13,14,15,23,24,25]                       1       (1,5,7)            13       7         Y       Y          Y        24      7        14        (22)        25      25       N/A
[13,14,25,34]                                1       (1,5,4)            10       4         Y       N          N        27      4        10        (6)         105     143      N/A
[12,13,14,25,34]                             1       (1,5,5)            11       5         Y       N          N        26      5        12        (10)        113     88       N/A
[12,13,14,23,25,34]                          1       (1,5,6)            12       6         Y       N          N        25      6        14        (15)        101     104      N/A
[14,15,23,25,34]                             1       (1,5,5)            11       5         Y       N          N        26      5        12        (10)        113     94       N/A
[12,14,15,23,25,34]                          1       (1,5,6)            12       6         Y       N          N        25      6        14        (15)        81      52       N/A
[12,13,14,15,25,34]                          1       (1,5,6)            12       6         Y       N          N        25      6        15        (14,1)      137     135      N/A
[12,13,14,15,23,25,34]                       1       (1,5,7)            13       7         Y       N          N        24      7        17        (20)        105     103      N/A
