complex                                                                              cdim    f-vector              faces    facets    pure    matroid    graph    pdim    codim    degree    m-vector         aED    pED    ML
[1,2,3,4,5,6]                                                                        0       (1,6)                 7        6         Y       Y          Y        63      0        1         ()               N/A    N/A    N/A
[12,3,4,5,6]                                                                         1       (1,6,1)               8        5         N       N          N        62      1        2         (1)              N/A    N/A    N/A
[12,13,4,5,6]                                                                        1       (1,6,2)               9        5         N       N          N        61      2        3         (3)              N/A    N/A    N/A
[12,13,14,5,6]                                                                       1       (1,6,3)               10       5         N       N          N        60      3        4         (6)              N/A    N/A    N/A
[12,13,14,15,6]                                                                      1       (1,6,4)               11       5         N       N          N        59      4        5         (10)             N/A    N/A    N/A
[12,13,14,15,16]                                                                     1       (1,6,5)               12       5         Y       Y          Y        58      5        6         (15)             N/A    N/A    N/A
[12,13,23,4,5,6]                                                                     1       (1,6,3)               10       6         N       N          N        60      3        5         (5)              N/A    N/A    N/A
[14,23,5,6]                                                                          1       (1,6,2)               9        4         N       N          N        61      2        4         (2)              N/A    N/A    N/A
[13,14,23,5,6]                                                                       1       (1,6,3)               10       5         N       N          N        60      3        5         (5)              N/A    N/A    N/A
[12,13,14,23,5,6]                                                                    1       (1,6,4)               11       6         N       N          N        59      4        7         (8)              N/A    N/A    N/A
[14,16,23,5]                                                                         1       (1,6,3)               10       4         N       N          N        60      3        6         (4)              N/A    N/A    N/A
[12,14,16,23,5]                                                                      1       (1,6,4)               11       5         N       N          N        59      4        7         (8)              N/A    N/A    N/A
[12,13,14,16,23,5]                                                                   1       (1,6,5)               12       6         N       N          N        58      5        9         (12)             N/A    N/A    N/A
[14,15,16,23]                                                                        1       (1,6,4)               11       4         Y       N          N        59      4        8         (7)              N/A    N/A    N/A
[12,14,15,16,23]                                                                     1       (1,6,5)               12       5         Y       N          N        58      5        9         (12)             N/A    N/A    N/A
[12,13,14,15,16,23]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        11        (17)             N/A    N/A    N/A
[13,15,23,24,6]                                                                      1       (1,6,4)               11       5         N       N          N        59      4        8         (7)              N/A    N/A    N/A
[12,13,15,23,24,6]                                                                   1       (1,6,5)               12       6         N       N          N        58      5        10        (11)             N/A    N/A    N/A
[13,14,23,24,5,6]                                                                    1       (1,6,4)               11       6         N       N          N        59      4        6         (9)              N/A    N/A    N/A
[13,14,15,23,24,6]                                                                   1       (1,6,5)               12       6         N       N          N        58      5        9         (12)             N/A    N/A    N/A
[12,13,14,23,24,5,6]                                                                 1       (1,6,5)               12       7         N       N          N        58      5        9         (12)             N/A    N/A    N/A
[12,13,14,15,23,24,6]                                                                1       (1,6,6)               13       7         N       N          N        57      6        12        (16)             N/A    N/A    N/A
[15,16,23,24]                                                                        1       (1,6,4)               11       4         Y       N          N        59      4        9         (6)              N/A    N/A    N/A
[13,15,16,23,24]                                                                     1       (1,6,5)               12       5         Y       N          N        58      5        11        (10)             N/A    N/A    N/A
[12,15,16,23,24]                                                                     1       (1,6,5)               12       5         Y       N          N        58      5        10        (11)             N/A    N/A    N/A
[12,13,15,16,23,24]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        13        (15)             N/A    N/A    N/A
[13,14,15,16,23,24]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        12        (16)             N/A    N/A    N/A
[12,13,14,15,16,23,24]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        15        (21)             N/A    N/A    N/A
